testname,percentage,nodes,policy,min_support,time,rule_score,tree_score
OV o COADREAD,0.01,100000,objective,0.01,5.011,0.941,0.843
OV o COADREAD,0.01,100000,lower_bound,0.01,5.314,0.961,0.912
OV o COADREAD,0.01,100000,objective,0.01,4.929,0.931,0.853
OV o COADREAD,0.01,100000,lower_bound,0.01,5.222,0.961,0.902
OV o COADREAD,0.01,100000,curious,0.01,5.579,0.951,0.873
OV o COADREAD,0.01,10000000,objective,0.01,97.089,0.941,0.824
OV o COADREAD,0.01,10000000,lower_bound,0.01,110.904,0.922,0.873
OV o COADREAD,0.01,10000000,curious,0.01,119.19,0.922,0.873
LUAD o LUSC,0.05,100000,objective,0.01,0.99,0.7,0.629
LUAD o LUSC,0.05,100000,lower_bound,0.01,0.904,0.629,0.6
LUAD o LUSC,0.05,100000,curious,0.01,0.881,0.729,0.586
LUAD o LUSC,0.05,10000000,objective,0.01,37.247,0.686,0.671
LUAD o LUSC,0.05,10000000,lower_bound,0.01,36.046,0.686,0.714
LUAD o LUSC,0.05,10000000,curious,0.01,40.093,0.586,0.643
OV o COADREAD,0.01,100000,objective,0.03,2.739,0.961,0.873
OV o COADREAD,0.01,100000,lower_bound,0.03,2.585,0.961,0.814
OV o COADREAD,0.01,100000,curious,0.03,2.818,0.902,0.843
OV o COADREAD,0.01,10000000,objective,0.03,86.464,0.971,0.863
