testname,percentage,nodes,policy,min_support,time,rule_score,tree_score,winner
LUAD o LUSC,0.05,10000,objective,0.01,0.382,0.7,0.643,1
LUAD o LUSC,0.05,10000,objective,0.01,0.377,0.657,0.571,1
LUAD o LUSC,0.05,10000,objective,0.01,0.395,0.829,0.657,1
LUAD o LUSC,0.05,10000,objective,0.1,0.14,0.714,0.614,1
LUAD o LUSC,0.05,10000,objective,0.1,0.156,0.757,0.586,1
LUAD o LUSC,0.05,10000,objective,0.1,0.151,0.743,0.657,1
LUAD o LUSC,0.05,10000,objective,0.3,0.367,0.7,0.686,1
LUAD o LUSC,0.05,10000,objective,0.3,0.567,0.686,0.6,1
LUAD o LUSC,0.05,10000,objective,0.3,0.066,0.657,0.757,0
LUAD o LUSC,0.05,10000,objective,0.4,0.033,0.614,0.686,0
LUAD o LUSC,0.05,10000,objective,0.4,0.045,0.786,0.643,1
LUAD o LUSC,0.05,10000,objective,0.4,0.033,0.643,0.7,0
LUAD o LUSC,0.05,10000,lower_bound,0.01,0.396,0.7,0.586,1
LUAD o LUSC,0.05,10000,lower_bound,0.01,0.404,0.686,0.657,1
LUAD o LUSC,0.05,10000,lower_bound,0.01,0.422,0.643,0.729,0
LUAD o LUSC,0.05,10000,lower_bound,0.1,0.152,0.671,0.671,2
LUAD o LUSC,0.05,10000,lower_bound,0.1,0.156,0.7,0.586,1
LUAD o LUSC,0.05,10000,lower_bound,0.1,0.151,0.786,0.557,1
LUAD o LUSC,0.05,10000,lower_bound,0.3,0.08,0.7,0.686,1
LUAD o LUSC,0.05,10000,lower_bound,0.3,0.076,0.7,0.529,1
LUAD o LUSC,0.05,10000,lower_bound,0.3,0.071,0.814,0.629,1
LUAD o LUSC,0.05,10000,lower_bound,0.4,0.033,0.671,0.657,1
LUAD o LUSC,0.05,10000,lower_bound,0.4,0.034,0.771,0.586,1
LUAD o LUSC,0.05,10000,lower_bound,0.4,0.033,0.814,0.629,1
LUAD o LUSC,0.05,10000,curious,0.01,0.443,0.714,0.686,1
LUAD o LUSC,0.05,10000,curious,0.01,0.448,0.671,0.643,1
LUAD o LUSC,0.05,10000,curious,0.01,0.47,0.686,0.6,1
LUAD o LUSC,0.05,10000,curious,0.1,0.151,0.757,0.543,1
LUAD o LUSC,0.05,10000,curious,0.1,0.152,0.714,0.686,1
LUAD o LUSC,0.05,10000,curious,0.1,0.158,0.729,0.686,1
LUAD o LUSC,0.05,10000,curious,0.3,0.123,0.629,0.486,1
LUAD o LUSC,0.05,10000,curious,0.3,0.132,0.771,0.729,1
LUAD o LUSC,0.05,10000,curious,0.3,0.093,0.643,0.614,1
LUAD o LUSC,0.05,10000,curious,0.4,0.229,0.671,0.614,1
LUAD o LUSC,0.05,10000,curious,0.4,0.033,0.743,0.743,2
LUAD o LUSC,0.05,10000,curious,0.4,0.034,0.714,0.614,1
LUAD o LUSC,0.05,10000,bfs,0.01,0.449,0.6,0.657,0
LUAD o LUSC,0.05,10000,bfs,0.01,0.468,0.743,0.571,1
LUAD o LUSC,0.05,10000,bfs,0.01,0.467,0.7,0.629,1
