testname,percentage,nodes,policy,min_support,time,rule_score,tree_score
OV o COADREAD,0.01,100000,objective,0.01,7.153,0.912,0.902
OV o COADREAD,0.01,100000,objective,0.01,7.363,0.931,0.912
OV o COADREAD,0.01,100000,objective,0.01,7.357,0.922,0.873
OV o COADREAD,0.01,100000,objective,0.01,7.531,0.912,0.892
OV o COADREAD,0.01,100000,objective,0.01,7.372,0.922,0.863
OV o COADREAD,0.01,100000,objective,0.01,7.453,0.941,0.833
OV o COADREAD,0.01,100000,objective,0.01,7.007,0.912,0.853
OV o COADREAD,0.01,100000,objective,0.01,7.269,0.941,0.882
OV o COADREAD,0.01,100000,objective,0.01,7.648,0.912,0.824
OV o COADREAD,0.01,100000,objective,0.01,6.969,0.931,0.853
OV o COADREAD,0.05,100000,objective,0.01,0.006,0.922,0.98
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.931,0.931
OV o COADREAD,0.05,100000,objective,0.01,0.006,0.931,0.961
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.912,0.961
OV o COADREAD,0.05,100000,objective,0.01,0.006,0.951,0.951
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.98,0.961
OV o COADREAD,0.05,100000,objective,0.01,0.007,0.912,0.941
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.98,0.912
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.931,0.951
OV o COADREAD,0.05,100000,objective,0.01,0.005,0.951,0.931
OV o COADREAD,0.1,100000,objective,0.01,0.006,0.961,0.922
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.951,0.941
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.922,0.912
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.922,0.931
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.961,0.941
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.961,0.922
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.941,0.931
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.912,0.912
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.912,0.971
OV o COADREAD,0.1,100000,objective,0.01,0.005,0.931,0.941
OV o COADREAD,0.2,100000,objective,0.01,0.006,0.98,0.941
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.931,0.961
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.922,0.961
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.931,0.931
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.961,0.922
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.961,0.931
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.951,0.951
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.902,0.98
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.951,0.931
OV o COADREAD,0.2,100000,objective,0.01,0.005,0.941,0.931
OV o COADREAD,0.3,100000,objective,0.01,0.006,0.902,0.922
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.931,0.951
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.931,0.912
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.922,0.892
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.912,0.922
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.902,0.912
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.922,0.931
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.951,0.931
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.902,0.892
OV o COADREAD,0.3,100000,objective,0.01,0.005,0.912,0.902
OV o COADREAD,0.4,100000,objective,0.01,0.006,0.941,0.931
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.941,0.922
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.882,0.882
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.902,0.892
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.931,0.941
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.941,0.931
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.922,0.941
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.902,0.902
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.912,0.902
OV o COADREAD,0.4,100000,objective,0.01,0.005,0.931,0.931
LUAD o LUSC,0.4,100000,objective,0.01,0.007,0.629,0.7
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.6,0.629
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.686,0.671
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.7,0.743
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.7,0.6
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.771,0.729
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.686,0.729
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.6,0.7
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.757,0.614
LUAD o LUSC,0.4,100000,objective,0.01,0.006,0.7,0.7
LUAD o LUSC,0.3,100000,objective,0.01,0.007,0.629,0.686
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.671,0.643
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.657,0.671
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.714,0.671
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.629,0.586
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.714,0.657
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.6,0.6
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.657,0.629
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.629,0.671
LUAD o LUSC,0.3,100000,objective,0.01,0.006,0.629,0.6
LUAD o LUSC,0.2,100000,objective,0.01,0.007,0.671,0.643
LUAD o LUSC,0.2,100000,objective,0.01,0.006,0.729,0.743
LUAD o LUSC,0.2,100000,objective,0.01,0.006,0.629,0.671
LUAD o LUSC,0.2,100000,objective,0.01,0.006,0.7,0.6
LUAD o LUSC,0.2,100000,objective,0.01,0.006,0.643,0.743
LUAD o LUSC,0.2,100000,objective,0.01,0.006,0.6,0.671
